slug,name,color,type,cost,power,health,keywords,influenceTrigger,text,designerNote,effectsJson
cinder-initiate,Cinder Initiate,red,unit,1,1,1,"rush, overextend 1",,Rush. Overextend 1.,"Decision 35: when attacking you MAY overextend for +N power; the unit takes N damage at end of turn. A gamble, not a given.",{}
devastating-strike,Devastating Strike,red,action,1,,,,,Deal 2 damage to target unit or base. Overextend 1.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unitOrBase"",""side"":""any"",""baseSide"":""enemy""}],""onPlay"":[{""op"":""damage"",""t"":""chosen0"",""n"":2}]}"
reckless-charge,Reckless Charge,red,action,1,,,,,Target unit gains Rush. Overextend 1.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unit"",""side"":""friendly""}],""onPlay"":[{""op"":""grant"",""t"":""chosen0"",""kw"":{""k"":""rush""},""dur"":""perm""}]}"
spark-hound,Spark Hound,red,unit,1,2,1,rush,,"Rush. When this attacks, it gets +1 Power this turn.",,"{""onAttack"":[{""op"":""buff"",""t"":""self"",""p"":1,""dur"":""turn""}]}"
berserker,Berserker,red,unit,2,3,2,"rush, overextend 2",,Rush. Overextend 2.,,{}
blood-rush,Blood Rush,red,action,2,,,,,Target unit gets +2 Power and Rush this turn. Overextend 1.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unit"",""side"":""friendly""}],""onPlay"":[{""op"":""buff"",""t"":""chosen0"",""p"":2,""dur"":""turn""},{""op"":""grant"",""t"":""chosen0"",""kw"":{""k"":""rush""},""dur"":""turn""}]}"
flameblade-raider,Flameblade Raider,red,unit,2,2,2,"rush, breakthrough 1",,Rush. Breakthrough 1.,,{}
searing-bolt,Searing Bolt,red,action,2,,,,,Deal 2 damage to any target. Overextend 1.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unitOrBase"",""side"":""any"",""baseSide"":""any""}],""onPlay"":[{""op"":""damage"",""t"":""chosen0"",""n"":2}]}"
smash-through,Smash Through,red,action,2,,,,,Target unit with Rush gains Breakthrough 2 this turn. Overextend 1.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unit"",""side"":""friendly"",""withKw"":""rush""}],""onPlay"":[{""op"":""grant"",""t"":""chosen0"",""kw"":{""k"":""breakthrough"",""n"":2},""dur"":""turn""}]}"
warcry-leader,Warcry Leader,red,unit,2,2,3,,,Other friendly units have Rush.,,"{""statics"":[{""s"":""aura"",""scope"":""otherFriendly"",""kw"":{""k"":""rush""}}]}"
collateral-damage,Collateral Damage,red,action,3,,,,,Deal 2 damage to two different target units. Overextend 2.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unit"",""side"":""any"",""count"":2}],""onPlay"":[{""op"":""damage"",""t"":""chosen0"",""n"":2},{""op"":""damage"",""t"":""chosen1"",""n"":2}]}"
fiery-impaler,Fiery Impaler,red,unit,3,3,3,,,"When this attacks a unit, it deals 1 damage to an adjacent unit.","⚑ ""Adjacent unit"" auto-targets the strongest other enemy unit in the defending zone (deterministic pick).","{""onAttack"":[{""op"":""damage"",""t"":""autoSplash"",""n"":1}]}"
rageforged-brute,Rageforged Brute,red,unit,3,4,3,"breakthrough 2, overextend 2",,Breakthrough 2. Overextend 2.,,{}
volcanic-slam,Volcanic Slam,red,action,3,,,,,Deal 3 damage to target unit or base. Overextend 2.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unitOrBase"",""side"":""any"",""baseSide"":""enemy""}],""onPlay"":[{""op"":""damage"",""t"":""chosen0"",""n"":3}]}"
warpath,Warpath,red,action,3,,,,,All friendly units gain Rush. Overextend 2.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""onPlay"":[{""op"":""grant"",""t"":{""side"":""friendly""},""kw"":{""k"":""rush""},""dur"":""perm""}]}"
blaze-juggernaut,Blaze Juggernaut,red,unit,4,4,4,"rush, reach",,Rush. This unit can attack adjacent zones.,"⚑ ""Attack adjacent zones"" = Reach: like Ranged but still draws counter-damage and can assault bases normally.",{}
burning-oath,Burning Oath,red,upgrade,4,,,,,Give attached unit +2 Power and Rush. Overextend 1.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""statics"":[{""s"":""aura"",""scope"":""attached"",""p"":2},{""s"":""aura"",""scope"":""attached"",""kw"":{""k"":""rush""}}]}"
inferno-titan,Inferno Titan,red,unit,4,6,5,"breakthrough 3, overextend 3",,Breakthrough 3. Overextend 3.,,{}
pillage,Pillage,red,action,4,,,,,Destroy target enemy upgrade. Overextend 2.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""upgrade"",""side"":""enemy""}],""onPlay"":[{""op"":""destroyUpgrade""}]}"
rupture,Rupture,red,action,4,,,,,Deal 4 damage to target unit or base. Overextend 3.,"⚑ Overextend printed on an action/upgrade is inert pending the designer card pass — the designer defined Overextend as a unit combat gamble (decision 35), so the influence-cede reading was removed.","{""targets"":[{""t"":""unitOrBase"",""side"":""any"",""baseSide"":""enemy""}],""onPlay"":[{""op"":""damage"",""t"":""chosen0"",""n"":4}]}"
bloodfrenzy,Bloodfrenzy,red,upgrade,5,,,,,"At the start of your turn, attached unit gets +1 Power if you have 5 or less life.",,"{""startOfTurn"":{""cond"":{""selfLifeAtMost"":5},""ops"":[{""op"":""buff"",""t"":""attached"",""p"":1,""dur"":""perm""}]}}"
